iter	RMSE
0	0.2765880683
1	0.2700318378
2	0.2636824797
3	0.2577412376
4	0.2524219546
5	0.247401497
6	0.2426585527
7	0.2380563153
8	0.2338585489
9	0.2300306365
10	0.2264544577
11	0.2231555134
12	0.2197625202
13	0.2167608834
14	0.2138841986
15	0.2110637318
16	0.2084369686
17	0.2063211194
18	0.2041823685
19	0.2020225754
20	0.2000334373
21	0.1981916381
22	0.196425308
23	0.1948640094
24	0.1933099409
25	0.1917247121
26	0.1902771305
27	0.1888847477
28	0.1876275467
29	0.1865361807
30	0.1853888544
31	0.1843418562
32	0.1834696008
33	0.182508048
34	0.1816022318
35	0.1805977133
36	0.1799041771
37	0.1790200637
38	0.1782541254
39	0.1774468068
40	0.1767853198
41	0.1761657307
42	0.1755011914
43	0.1748606682
44	0.1743467276
45	0.173755918
46	0.1730233497
47	0.1725863708
48	0.1720563039
49	0.1714743718
50	0.171051636
51	0.1704969236
52	0.1700576633
53	0.1696453454
54	0.1692545808
55	0.1689026905
56	0.1683226295
57	0.1678679852
58	0.167460646
59	0.1669974024
60	0.1667016619
61	0.1662356782
62	0.1658519101
63	0.1655813266
64	0.1652165446
65	0.1649428044
66	0.1646527147
67	0.1644057713
68	0.164140814
69	0.1638924779
70	0.1635926337
71	0.1633079068
72	0.1630496898
73	0.162897678
74	0.1626043826
75	0.1624463748
76	0.162128019
77	0.1618538733
78	0.1615544165
79	0.161301078
80	0.161004625
81	0.1607792423
82	0.1606138537
83	0.1603560782
84	0.1601189568
85	0.1598907622
86	0.1597137614
87	0.1595144764
88	0.1591981415
89	0.1590495636
90	0.1588686857
91	0.1585591469
92	0.1583857244
93	0.158125325
94	0.1579511331
95	0.1577807067
96	0.1575386184
97	0.1573062098
98	0.1571041198
99	0.1569420428
100	0.1566805639
101	0.1565041854
102	0.1562345857
103	0.1559860288
104	0.1557207776
105	0.1555460623
106	0.1552010462
107	0.1550423877
108	0.1548325591
109	0.1546127114
110	0.1543946696
111	0.1543112961
112	0.1541232355
113	0.1538881825
114	0.1537426636
115	0.1536941959
116	0.1535965849
117	0.153454832
118	0.1533239526
119	0.1532282073
120	0.1530517825
121	0.1528830746
122	0.1526754938
123	0.1525001161
124	0.1523707055
125	0.1522029325
126	0.1520131163
127	0.1518422922
128	0.1517193252
129	0.1515726947
130	0.1514770648
131	0.151350518
132	0.1512024956
133	0.1510469657
134	0.1509436149
135	0.1507749089
136	0.1506650418
137	0.1505381814
138	0.1503245774
139	0.1502075389
140	0.1500794281
141	0.1499499386
142	0.1498380385
143	0.1497035574
144	0.1495120337
145	0.1494118351
146	0.1492301058
147	0.1490689363
148	0.1489976836
149	0.1487564267
150	0.1486547223
151	0.1484796465
152	0.1483165309
153	0.1481995032
154	0.148013262
155	0.1478309687
156	0.1477310575
157	0.1475096575
158	0.1474230811
159	0.1473049456
160	0.1472221831
161	0.1471466454
162	0.1469943688
163	0.1468962488
164	0.1467733715
165	0.1466870339
166	0.1465195846
167	0.1464465367
168	0.1463527169
169	0.1462581618
170	0.1461148941
171	0.1461142323
172	0.1460003366
173	0.1458828825
174	0.145784226
175	0.1456367483
176	0.1455221114
177	0.1453334373
178	0.1452294065
179	0.1450921782
180	0.1449277132
181	0.1448159391
182	0.1447900995
183	0.1446637977
184	0.144577531
185	0.1444434369
186	0.1443058105
187	0.1441870973
188	0.1440168985
189	0.1439008138
190	0.1438629252
191	0.1438059628
192	0.1436072544
193	0.1435204243
194	0.1433713929
195	0.1432699802
196	0.1432179612
197	0.1431261869
198	0.1429394676
199	0.142837597
200	0.1427439061
201	0.1426407419
202	0.142484509
203	0.1424346589
204	0.1423342773
205	0.1421952028
206	0.1421278729
207	0.1420453749
208	0.1419319253
209	0.1418924815
210	0.1417851715
211	0.1416464367
212	0.1416049444
213	0.1414787733
214	0.1413686895
215	0.1412387018
216	0.1411335845
217	0.1410129887
218	0.1409692739
219	0.1408395604
220	0.1407399563
221	0.1406393235
222	0.1405528703
223	0.1403918958
224	0.1403120359
225	0.140304205
226	0.1402073758
227	0.140102432
228	0.1400095266
229	0.1398846891
230	0.139850369
231	0.1397825426
232	0.1396150652
233	0.1394955903
234	0.1394088928
235	0.1392405743
236	0.1391751119
237	0.1391631586
238	0.1390442795
239	0.1389615796
240	0.1389568636
241	0.1387715326
242	0.1386917485
243	0.1386136403
244	0.1385841574
245	0.1385362455
246	0.1383985652
247	0.13834699
248	0.1382656885
249	0.1381102123
250	0.1380144751
251	0.1379727556
252	0.1379204393
253	0.1378784675
254	0.1378221817
255	0.1377175045
256	0.1376284685
257	0.1375842466
258	0.1374823665
259	0.1374476936
260	0.1373735661
261	0.1372667031
262	0.137204048
263	0.1371459701
264	0.1370776911
265	0.1369563408
266	0.1368974364
267	0.1368969404
268	0.1368411606
269	0.1367918485
270	0.1366454543
271	0.1365384584
272	0.1364368605
273	0.1363846641
274	0.1363225394
275	0.1363069698
276	0.1362705106
277	0.1362269732
278	0.1362055845
279	0.1361344686
280	0.1360766524
281	0.1359692695
282	0.1359184376
283	0.1358605447
284	0.1357780802
285	0.1357068388
286	0.1355480405
287	0.1354787056
288	0.1354364785
289	0.1353856061
290	0.1353210309
291	0.1353091933
292	0.1352563868
293	0.1351465404
294	0.1350869611
295	0.1350147226
296	0.1349837525
297	0.1348906393
298	0.134796027
299	0.1347299704
300	0.1347162099
301	0.1346590454
302	0.1345077143
303	0.134420754
304	0.134418611
305	0.1343853906
306	0.1343236279
307	0.1343211464
308	0.1341572726
309	0.1340745201
310	0.1339583288
311	0.1339216834
312	0.1338419829
313	0.133782061
314	0.1337203428
315	0.133715088
316	0.1336863332
317	0.1336769291
318	0.1335758119
319	0.1334755506
320	0.1332995165
321	0.1332289034
322	0.1331545134
323	0.1331120745
324	0.1330353998
325	0.1329835083
326	0.1329278586
327	0.132874787
328	0.1328744464
329	0.1328490564
330	0.1327883223
331	0.1327089722
332	0.132701902
333	0.1326725865
334	0.1326619705
335	0.1326614587
336	0.1325896523
337	0.132589241
338	0.1325319431
339	0.1325182805
340	0.1324270617
341	0.1322558084
342	0.1321773995
343	0.1321577063
344	0.1319923702
345	0.1319404038
346	0.131905912
347	0.1318328512
348	0.1317531989
349	0.1317182441
350	0.1316803347
351	0.1316165835
352	0.131561638
353	0.1315113867
354	0.1315109643
355	0.1313824914
356	0.1313060838
357	0.1313058488
358	0.1313056294
359	0.1313054178
360	0.131304885
361	0.1313044032
362	0.1311714184
363	0.1311667282
364	0.1311058386
365	0.1309149099
366	0.130914741
367	0.1309146074
368	0.1308578852
369	0.1308034783
370	0.1308031008
371	0.1307537421
372	0.1307535218
373	0.1307530812
374	0.1307173749
375	0.1306491223
376	0.130616991
377	0.1306169005
378	0.1305618967
379	0.1305095657
380	0.1304741319
381	0.1304494301
382	0.1303726256
383	0.1303701083
384	0.1303424823
385	0.1302719129
386	0.1302095422
387	0.1301916256
388	0.1300702496
389	0.1300546078
390	0.1300525116
391	0.1300162133
392	0.1299837198
393	0.1298534547
394	0.1298126153
395	0.1298108837
396	0.1298017615
397	0.1297466857
398	0.1296511088
399	0.1295511375
400	0.1294916492
401	0.1294607405
402	0.1294527023
403	0.1292936703
404	0.1291857777
405	0.129078568
406	0.1290216087
407	0.1290206359
408	0.1289923062
409	0.1289476757
410	0.1288840655
411	0.1288437372
412	0.1288426712
413	0.1288327977
414	0.1287931004
415	0.1286925466
416	0.1285736561
417	0.1285558596
418	0.1284435388
419	0.1284257123
420	0.1283655261
421	0.1283234435
422	0.1282346721
423	0.1281825829
424	0.1281004641
425	0.1280519597
426	0.1280468781
427	0.1279759633
428	0.1279749986
429	0.127904253
430	0.1278850522
431	0.1278051451
432	0.1277496555
433	0.1277413807
434	0.1276663638
435	0.1276660092
436	0.1276013408
437	0.1275986479
438	0.1275498156
439	0.1274998834
440	0.1274944287
441	0.1274152738
442	0.1274140627
443	0.1274128152
444	0.1273724451
445	0.1273693436
446	0.1273158013
447	0.1272679275
448	0.1272436018
449	0.1272418918
450	0.1272312432
451	0.1271499826
452	0.1270106352
453	0.1270004168
454	0.1269977274
455	0.1269746544
456	0.1269717416
457	0.1269349879
458	0.1268472075
459	0.1268235272
460	0.1268158977
461	0.1267875906
462	0.1267552921
463	0.1267528735
464	0.1267519482
465	0.1267284936
466	0.1267196528
467	0.1267167626
468	0.1266774742
469	0.1266473693
470	0.1266241512
471	0.1266223029
472	0.1264840823
473	0.1264703357
474	0.1264269387
475	0.1264258931
476	0.1263640828
477	0.1263255276
478	0.126226969
479	0.1262260317
480	0.1261717882
481	0.1261170075
482	0.1260890616
483	0.1260567718
484	0.1259891912
485	0.1259451874
486	0.1259302015
487	0.1259295398
488	0.125913351
489	0.1259131508
490	0.1258397827
491	0.1258181654
492	0.1258151727
493	0.1258148293
494	0.125718264
495	0.1257009922
496	0.1256950748
497	0.125665803
498	0.1256653036
499	0.1255963451
