iter	Passed	Remaining
0	8	4033
1	15	3905
2	23	3861
3	30	3839
4	38	3829
5	46	3817
6	53	3801
7	61	3784
8	69	3765
9	76	3753
10	83	3732
11	91	3717
12	98	3705
13	106	3697
14	114	3688
15	121	3679
16	129	3668
17	136	3660
18	144	3648
19	151	3636
20	159	3627
21	166	3619
22	174	3612
23	181	3600
24	188	3588
25	196	3581
26	204	3574
27	211	3566
28	219	3557
29	226	3547
30	233	3538
31	241	3531
32	248	3520
33	256	3513
34	263	3506
35	271	3496
36	278	3482
37	285	3476
38	293	3465
39	300	3457
40	308	3449
41	315	3439
42	323	3433
43	330	3426
44	338	3419
45	345	3410
46	353	3403
47	360	3392
48	367	3382
49	374	3374
50	382	3365
51	389	3359
52	397	3349
53	404	3341
54	411	3331
55	419	3323
56	426	3316
57	434	3308
58	441	3301
59	449	3292
60	456	3285
61	464	3278
62	471	3270
63	478	3262
64	486	3255
65	493	3247
66	501	3239
67	508	3231
68	515	3221
69	522	3211
70	530	3203
71	537	3194
72	544	3186
73	549	3163
74	555	3148
75	562	3139
76	570	3133
77	577	3126
78	585	3118
79	592	3110
80	599	3102
81	607	3095
82	614	3087
83	622	3080
84	629	3072
85	636	3065
86	643	3056
87	651	3048
88	658	3040
89	665	3032
90	672	3024
91	680	3016
92	687	3008
93	694	3001
94	702	2993
95	709	2986
96	716	2977
97	723	2969
98	731	2962
99	738	2954
100	746	2947
101	754	2942
102	761	2934
103	768	2927
104	776	2919
105	783	2911
106	790	2904
107	795	2886
108	802	2878
109	809	2870
110	815	2858
111	819	2840
112	827	2832
113	834	2826
114	841	2818
115	844	2796
116	851	2788
117	859	2781
118	866	2774
119	873	2766
120	880	2759
121	888	2752
122	895	2745
123	903	2739
124	910	2731
125	917	2723
126	925	2716
127	932	2709
128	939	2702
129	947	2696
130	954	2688
131	961	2681
132	969	2674
133	976	2666
134	983	2659
135	991	2652
136	998	2645
137	1005	2637
138	1013	2631
139	1020	2624
140	1027	2616
141	1035	2609
142	1042	2602
143	1049	2595
144	1057	2588
145	1063	2577
146	1070	2570
147	1077	2563
148	1082	2548
149	1089	2542
150	1096	2535
151	1104	2529
152	1111	2521
153	1119	2514
154	1126	2507
155	1133	2500
156	1141	2493
157	1148	2486
158	1155	2478
159	1163	2471
160	1170	2464
161	1174	2450
162	1181	2443
163	1189	2436
164	1196	2428
165	1203	2421
166	1210	2413
167	1217	2406
168	1224	2399
169	1232	2392
170	1239	2385
171	1242	2368
172	1249	2361
173	1256	2354
174	1264	2347
